Date,SPY_US_Equity,QQQ_US_Equity,IWD_US_Equity,IWF_US_Equity,IWN_US_Equity,MDY_US_Equity,IWM_US_Equity,IWO_US_Equity,EFA_US_Equity,EWJ_US_Equity,EWW_US_Equity,EWY_US_Equity,EWH_US_Equity,EWZ_US_Equity,IYR_US_Equity,SPLV_US_Equity,TLT_US_Equity,IEF_US_Equity,SHY_US_Equity,TIP_US_Equity,LQD_US_Equity,HYG_US_Equity,GLD_US_Equity
2015.05.15,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.013478,0.003478
2015.05.22,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.013478,0.003478
2015.05.29,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.013478,0.003478
2015.06.05,0.003478,0.003478,0.023478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.06.12,0.003478,0.003478,0.023478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.06.19,0.003478,0.003478,0.023478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.06.26,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.07.03,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.07.10,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.07.17,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.07.24,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.07.31,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.08.07,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
2015.08.14,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.013478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.003478,0.903478,0.003478,0.003478,0.003478,0.003478
